Link Name,beam1,beam2,beam3
frame261_beam_index_RSF3_Car14,37,55,32
frame262_beam_index_RSF3_Car14,14,65,27
frame264_beam_index_RSF3_Car14,24,115,113
frame265_beam_index_RSF3_Car14,22,78,45
frame266_beam_index_RSF3_Car14,8,91,67
frame271_beam_index_RSF3_Car14,64,97,115
frame272_beam_index_RSF3_Car14,47,21,123
frame273_beam_index_RSF3_Car14,32,104,105
frame274_beam_index_RSF3_Car14,45,44,41
frame275_beam_index_RSF3_Car14,96,52,88
frame276_beam_index_RSF3_Car14,11,101,115
frame277_beam_index_RSF3_Car14,85,18,11
frame278_beam_index_RSF3_Car14,27,43,102
frame282_beam_index_RSF3_Car14,65,54,29
frame283_beam_index_RSF3_Car14,21,29,9
frame293_beam_index_RSF3_Car13,61,62,71
frame293_beam_index_RSF3_Car14,102,95,91
frame294_beam_index_RSF3_Car13,124,119,106
frame294_beam_index_RSF3_Car14,96,5,97
frame297_beam_index_RSF3_Car13,15,57,5
frame297_beam_index_RSF3_Car14,20,102,101
frame301_beam_index_RSF3_Car13,81,114,4
frame301_beam_index_RSF3_Car14,56,85,119
frame303_beam_index_RSF3_Car13,34,40,69
frame303_beam_index_RSF3_Car14,68,121,22
frame309_beam_index_RSF3_Car13,127,14,68
frame309_beam_index_RSF3_Car14,8,67,46
frame310_beam_index_RSF3_Car13,29,90,114
frame310_beam_index_RSF3_Car14,119,94,12
frame312_beam_index_RSF3_Car13,79,116,52
frame312_beam_index_RSF3_Car14,58,105,2
frame316_beam_index_RSF3_Car13,1,111,55
frame317_beam_index_RSF3_Car13,111,92,104
frame318_beam_index_RSF3_Car13,99,34,64
frame320_beam_index_RSF3_Car13,68,82,12
frame321_beam_index_RSF3_Car13,50,21,10
frame322_beam_index_RSF3_Car13,85,104,89
frame323_beam_index_RSF3_Car13,114,81,115
frame326_beam_index_RSF3_Car13,70,14,101
frame327_beam_index_RSF3_Car13,40,104,82
frame331_beam_index_RSF3_Car13,30,73,14
frame332_beam_index_RSF3_Car13,110,52,110
frame332_beam_index_RSF3_Car14,17,62,98
frame337_beam_index_RSF3_Car13,110,123,22
frame337_beam_index_RSF3_Car14,53,32,76
frame338_beam_index_RSF3_Car13,55,121,80
frame338_beam_index_RSF3_Car14,22,38,50
frame339_beam_index_RSF3_Car13,103,66,45
frame339_beam_index_RSF3_Car14,119,8,108
frame340_beam_index_RSF3_Car13,65,105,40
frame340_beam_index_RSF3_Car14,105,5,45
frame343_beam_index_RSF3_Car13,46,36,17
frame343_beam_index_RSF3_Car14,41,30,52
frame345_beam_index_RSF3_Car13,79,20,36
frame345_beam_index_RSF3_Car14,66,124,123
frame348_beam_index_RSF3_Car13,45,4,50
frame348_beam_index_RSF3_Car14,88,112,55
frame349_beam_index_RSF3_Car13,59,42,2
frame349_beam_index_RSF3_Car14,46,2,50
frame350_beam_index_RSF3_Car13,1,13,70
frame350_beam_index_RSF3_Car14,22,17,59
frame352_beam_index_RSF3_Car13,113,86,107
frame352_beam_index_RSF3_Car14,70,116,3
frame353_beam_index_RSF3_Car13,110,121,70
frame353_beam_index_RSF3_Car14,81,99,49
frame355_beam_index_RSF3_Car13,115,50,101
frame358_beam_index_RSF3_Car13,111,35,23
frame358_beam_index_RSF3_Car14,72,7,50
frame362_beam_index_RSF3_Car13,10,90,55
frame362_beam_index_RSF3_Car14,74,19,23
frame365_beam_index_RSF3_Car13,95,64,33
