Link Name,beam1,beam2,beam3
frame182_beam_index_RSF3_Car3,72,3,14
frame184_beam_index_RSF3_Car3,60,77,45
frame186_beam_index_RSF3_Car3,96,34,45
frame188_beam_index_RSF3_Car3,61,83,123
frame191_beam_index_RSF3_Car3,102,16,66
frame192_beam_index_RSF3_Car3,40,17,119
frame197_beam_index_RSF3_Car3,34,106,124
frame198_beam_index_RSF3_Car3,16,102,60
frame201_beam_index_RSF3_Car3,66,66,90
frame205_beam_index_RSF3_Car3,13,56,111
frame206_beam_index_RSF3_Car3,31,124,34
frame212_beam_index_RSF3_Car3,39,67,8
frame213_beam_index_RSF3_Car3,87,78,120
frame216_beam_index_RSF3_Car3,126,55,27
frame217_beam_index_RSF3_Car3,118,93,103
frame219_beam_index_RSF3_Car3,53,39,65
frame223_beam_index_RSF3_Car3,17,105,30
frame225_beam_index_RSF3_Car3,53,13,21
frame226_beam_index_RSF3_Car3,19,53,19
frame228_beam_index_RSF3_Car3,57,25,86
frame229_beam_index_RSF3_Car3,31,81,55
frame233_beam_index_RSF3_Car3,23,32,62
frame240_beam_index_RSF3_Car3,74,10,100
frame243_beam_index_RSF3_Car3,72,54,52
frame244_beam_index_RSF3_Car3,20,32,114
frame248_beam_index_RSF3_Car3,14,50,28
frame250_beam_index_RSF3_Car3,110,116,53
frame253_beam_index_RSF3_Car3,24,79,22
frame256_beam_index_RSF3_Car3,30,63,4
frame258_beam_index_RSF3_Car3,77,59,87
frame260_beam_index_RSF3_Car3,8,82,12
frame261_beam_index_RSF3_Car3,119,31,78
frame262_beam_index_RSF3_Car3,34,82,120
frame264_beam_index_RSF3_Car3,98,127,75
frame265_beam_index_RSF3_Car3,105,76,49
frame267_beam_index_RSF3_Car3,79,57,95
frame269_beam_index_RSF3_Car3,113,122,93
frame271_beam_index_RSF3_Car3,26,18,96
frame272_beam_index_RSF3_Car3,86,38,81
frame273_beam_index_RSF3_Car3,87,88,50
frame275_beam_index_RSF3_Car3,8,41,6
frame278_beam_index_RSF3_Car3,69,44,121
frame279_beam_index_RSF3_Car3,64,29,28
frame281_beam_index_RSF3_Car3,11,121,65
frame283_beam_index_RSF3_Car3,107,19,9
frame284_beam_index_RSF3_Car3,27,34,44
frame287_beam_index_RSF3_Car3,68,100,82
frame289_beam_index_RSF3_Car3,15,51,13
frame290_beam_index_RSF3_Car3,83,49,70
frame291_beam_index_RSF3_Car3,112,56,76
frame293_beam_index_RSF3_Car3,51,37,17
frame299_beam_index_RSF3_Car3,58,87,90
frame300_beam_index_RSF3_Car3,29,33,60
frame304_beam_index_RSF3_Car3,91,89,120
frame304_beam_index_RSF3_Car5,55,10,47
frame307_beam_index_RSF3_Car3,23,85,21
frame307_beam_index_RSF3_Car5,107,13,101
frame308_beam_index_RSF3_Car3,33,24,108
frame308_beam_index_RSF3_Car5,11,17,68
frame311_beam_index_RSF3_Car3,47,25,94
frame311_beam_index_RSF3_Car5,73,21,84
frame314_beam_index_RSF3_Car3,83,83,12
frame314_beam_index_RSF3_Car5,37,42,17
frame315_beam_index_RSF3_Car3,101,118,48
frame315_beam_index_RSF3_Car5,103,28,41
frame318_beam_index_RSF3_Car3,99,47,112
frame318_beam_index_RSF3_Car5,18,78,99
frame319_beam_index_RSF3_Car3,108,105,124
frame319_beam_index_RSF3_Car5,71,105,13
frame320_beam_index_RSF3_Car3,82,101,13
frame320_beam_index_RSF3_Car5,100,31,2
frame321_beam_index_RSF3_Car3,16,9,73
frame321_beam_index_RSF3_Car5,38,75,54
frame325_beam_index_RSF3_Car3,56,86,97
frame325_beam_index_RSF3_Car5,100,109,87
frame326_beam_index_RSF3_Car3,45,109,34
frame326_beam_index_RSF3_Car5,9,88,8
frame330_beam_index_RSF3_Car3,7,36,18
frame330_beam_index_RSF3_Car5,3,28,70
frame333_beam_index_RSF3_Car3,108,44,21
frame333_beam_index_RSF3_Car5,28,104,54
frame336_beam_index_RSF3_Car3,54,65,100
frame336_beam_index_RSF3_Car5,21,124,107
frame337_beam_index_RSF3_Car3,99,13,57
frame337_beam_index_RSF3_Car5,49,118,54
frame338_beam_index_RSF3_Car3,10,53,44
frame338_beam_index_RSF3_Car5,47,53,74
frame341_beam_index_RSF3_Car3,46,13,37
frame341_beam_index_RSF3_Car5,102,24,2
frame342_beam_index_RSF3_Car3,86,81,100
frame342_beam_index_RSF3_Car5,14,10,35
frame345_beam_index_RSF3_Car3,25,3,111
frame345_beam_index_RSF3_Car5,102,17,12
frame347_beam_index_RSF3_Car3,54,116,24
frame347_beam_index_RSF3_Car5,29,43,25
frame349_beam_index_RSF3_Car3,100,122,60
frame349_beam_index_RSF3_Car5,90,102,65
frame350_beam_index_RSF3_Car3,84,119,28
frame350_beam_index_RSF3_Car5,16,47,81
frame352_beam_index_RSF3_Car3,104,92,58
frame352_beam_index_RSF3_Car5,76,27,118
frame356_beam_index_RSF3_Car3,53,42,59
frame356_beam_index_RSF3_Car5,47,94,105
frame359_beam_index_RSF3_Car3,34,37,6
frame359_beam_index_RSF3_Car5,7,96,96
frame365_beam_index_RSF3_Car3,117,25,33
frame365_beam_index_RSF3_Car5,55,58,7
frame365_beam_index_RSF3_Car6,116,57,126
frame367_beam_index_RSF3_Car3,12,16,80
frame367_beam_index_RSF3_Car5,43,117,100
frame367_beam_index_RSF3_Car6,77,7,100
frame369_beam_index_RSF3_Car3,111,51,73
frame369_beam_index_RSF3_Car5,32,75,8
frame369_beam_index_RSF3_Car6,97,87,89
frame371_beam_index_RSF3_Car3,120,72,45
frame371_beam_index_RSF3_Car5,86,59,4
frame371_beam_index_RSF3_Car6,104,67,29
frame373_beam_index_RSF3_Car3,105,29,98
frame373_beam_index_RSF3_Car5,98,28,77
frame373_beam_index_RSF3_Car6,79,124,87
frame375_beam_index_RSF3_Car3,44,90,4
frame375_beam_index_RSF3_Car5,90,104,9
frame375_beam_index_RSF3_Car6,119,5,56
frame377_beam_index_RSF3_Car3,96,84,50
frame377_beam_index_RSF3_Car5,75,15,32
