Link Name,beam1,beam2,beam3
frame78_beam_index_RSF3_Car16,74,91,6
frame86_beam_index_RSF3_Car16,15,42,31
frame89_beam_index_RSF3_Car16,86,53,6
frame92_beam_index_RSF3_Car16,33,29,21
frame93_beam_index_RSF3_Car16,124,54,56
frame98_beam_index_RSF3_Car16,116,94,21
frame99_beam_index_RSF3_Car16,100,55,58
frame100_beam_index_RSF3_Car16,64,86,46
frame106_beam_index_RSF3_Car16,84,22,125
frame107_beam_index_RSF3_Car16,116,60,104
frame112_beam_index_RSF3_Car16,11,47,31
frame113_beam_index_RSF3_Car16,115,104,77
frame114_beam_index_RSF3_Car16,18,22,56
frame119_beam_index_RSF3_Car16,17,38,25
frame122_beam_index_RSF3_Car16,32,15,13
frame123_beam_index_RSF3_Car16,58,90,50
frame128_beam_index_RSF3_Car10,11,13,97
frame129_beam_index_RSF3_Car10,50,101,38
frame132_beam_index_RSF3_Car10,1,39,27
frame134_beam_index_RSF3_Car10,36,32,41
frame135_beam_index_RSF3_Car10,15,31,127
frame137_beam_index_RSF3_Car10,6,89,113
frame138_beam_index_RSF3_Car10,52,82,22
frame141_beam_index_RSF3_Car10,31,100,73
frame142_beam_index_RSF3_Car10,46,67,97
frame145_beam_index_RSF3_Car10,91,125,43
frame146_beam_index_RSF3_Car10,1,44,57
frame147_beam_index_RSF3_Car10,9,5,79
frame148_beam_index_RSF3_Car10,114,9,45
frame149_beam_index_RSF3_Car10,92,77,24
frame152_beam_index_RSF3_Car10,109,123,74
frame153_beam_index_RSF3_Car10,42,22,103
frame155_beam_index_RSF3_Car10,60,86,127
frame158_beam_index_RSF3_Car10,127,37,116
frame159_beam_index_RSF3_Car10,39,84,74
frame162_beam_index_RSF3_Car10,74,90,89
frame162_beam_index_RSF3_Car16,53,120,28
frame165_beam_index_RSF3_Car10,77,15,60
frame165_beam_index_RSF3_Car16,60,6,52
frame167_beam_index_RSF3_Car10,12,19,96
frame170_beam_index_RSF3_Car10,75,102,97
frame172_beam_index_RSF3_Car10,2,55,15
frame173_beam_index_RSF3_Car10,64,100,69
frame174_beam_index_RSF3_Car10,15,43,74
frame178_beam_index_RSF3_Car10,17,98,116
frame178_beam_index_RSF3_Car16,24,74,116
frame180_beam_index_RSF3_Car16,30,67,51
frame181_beam_index_RSF3_Car16,60,101,3
frame187_beam_index_RSF3_Car16,104,5,28
frame204_beam_index_RSF3_Car16,126,108,78
frame211_beam_index_RSF3_Car10,103,11,72
frame211_beam_index_RSF3_Car16,101,72,76
frame213_beam_index_RSF3_Car16,15,83,48
frame217_beam_index_RSF3_Car16,127,46,28
frame224_beam_index_RSF3_Car16,7,104,71
frame226_beam_index_RSF3_Car16,94,82,88
frame231_beam_index_RSF3_Car16,6,58,115
frame233_beam_index_RSF3_Car16,68,55,67
frame234_beam_index_RSF3_Car16,49,118,51
frame235_beam_index_RSF3_Car16,59,111,122
frame237_beam_index_RSF3_Car16,6,90,108
frame238_beam_index_RSF3_Car16,51,38,11
frame239_beam_index_RSF3_Car16,52,93,20
frame241_beam_index_RSF3_Car16,10,26,48
frame242_beam_index_RSF3_Car16,91,114,14
frame243_beam_index_RSF3_Car16,100,59,12
frame244_beam_index_RSF3_Car16,116,123,23
frame246_beam_index_RSF3_Car16,85,72,39
frame247_beam_index_RSF3_Car16,122,9,88
frame252_beam_index_RSF3_Car16,95,25,17
frame255_beam_index_RSF3_Car10,42,29,60
frame255_beam_index_RSF3_Car16,67,85,57
frame257_beam_index_RSF3_Car16,72,14,122
frame258_beam_index_RSF3_Car16,39,16,18
frame260_beam_index_RSF3_Car16,95,75,102
frame263_beam_index_RSF3_Car16,20,117,46
frame268_beam_index_RSF3_Car16,117,45,4
frame272_beam_index_RSF3_Car10,84,95,20
frame272_beam_index_RSF3_Car16,11,114,65
frame278_beam_index_RSF3_Car10,108,18,39
frame278_beam_index_RSF3_Car16,44,97,118
frame280_beam_index_RSF3_Car10,100,18,47
frame280_beam_index_RSF3_Car16,31,99,39
frame282_beam_index_RSF3_Car10,38,79,47
frame282_beam_index_RSF3_Car16,70,8,104
frame286_beam_index_RSF3_Car10,86,65,122
frame286_beam_index_RSF3_Car16,13,55,88
frame289_beam_index_RSF3_Car10,85,109,43
frame289_beam_index_RSF3_Car16,4,71,60
frame290_beam_index_RSF3_Car10,12,59,77
frame290_beam_index_RSF3_Car16,54,44,16
frame295_beam_index_RSF3_Car10,6,14,115
frame295_beam_index_RSF3_Car16,112,123,58
